Symbol,Security,Price,Chg,% Chg,High,Low,Volume,Mkt Cap,1 Year
AUI.AX,Australian United Investment Company Ltd,$10.90,-0.02,-0.18%,$11.00,$10.87,"39,268",$2.4B,0.0426
BOQ.AX,Bank of Queensland Ltd,$6.65,-0.06,-0.89%,$6.79,$6.65,"3,301,615",$4.4B,-10.86%
BPT.AX,Beach Energy Ltd,$1.17,-0.005,-0.43%,$1.18,$1.16,"4,899,937",$2.7B,-0.85%
BGL.AX,Bellevue Gold Ltd,$1.50,0.015,0.0101,$1.54,$1.48,"4,600,584",$2.2B,0.7143
BEN.AX,Bendigo and Adelaide Bank Ltd,$10.78,0.09,0.0084,$10.85,$10.66,"647,433",$6.3B,-4.26%
BHP.AX,BHP Group Ltd,$54.94,1.22,0.0227,$55.38,$54.91,"6,789,145",$279B,0.4523
XYZ.AX,"Block, Inc",$97.97,0.59,0.0061,$99.00,$97.49,"48,141",$3.6B,0.0634
BSL.AX,Bluescope Steel Ltd,$30.00,0.21,0.0071,$30.27,$29.685,"1,927,034",$13B,0.2674
BXB.AX,Brambles Ltd,$22.93,0.3,0.0133,$23.11,$22.27,"2,073,637",$31B,0.1147
BRG.AX,Breville Group Ltd,$29.67,-0.27,-0.90%,$30.55,$29.67,"257,619",$4.3B,0.0313
BFL.AX,BSP Financial Group Ltd,$8.25,-0.09,-1.08%,$8.35,$8.25,"4,139",$3.9B,0.0784
BWP.AX,BWP Group,$3.94,0.03,0.0077,$3.96,$3.88,"878,953",$2.9B,0.0914
CMM.AX,Capricorn Metals Ltd,$11.77,0.44,0.0388,$12.00,$11.43,"1,437,450",$5.4B,0.2906
CSC.AX,Capstone Copper Corp,$11.86,0.21,0.018,$11.89,$11.67,"1,544,145",$2.1B,0.5544
CAR.AX,CAR Group Ltd,$25.26,-0.11,-0.43%,$25.88,$25.08,"1,236,588",$9.6B,-24.75%
CIP.AX,Centuria Industrial REIT,$3.01,0.01,0.0033,$3.02,$2.98,"967,081",$1.9B,-0.33%
CGF.AX,Challenger Ltd,$8.74,0.2,0.0234,$8.78,$8.51,"1,144,096",$6B,0.2207
CIA.AX,Champion Iron Ltd,$4.85,0.18,0.0385,$4.88,$4.74,"1,497,640",$2.7B,0.0566
CHC.AX,Charter Hall Group,$20.09,-0.06,-0.30%,$20.34,$20.03,"1,512,146",$9.5B,0.1546
CLW.AX,Charter Hall Long Wale REIT,$3.55,0.05,0.0143,$3.56,$3.505,"886,594",$2.5B,-9.44%
CQR.AX,Charter Hall Retail REIT,$3.94,0.03,0.0077,$3.98,$3.90,"1,421,708",$2.3B,0.0341
CNU.AX,Chorus Ltd,$8.27,0.26,0.0325,$8.27,$8.04,"800,967",$3.6B,0.0997
CWY.AX,Cleanaway Waste Management Ltd,$2.26,0.04,0.018,$2.27,$2.21,"7,149,708",$5.1B,-13.41%
CBO.AX,Cobram Estate Olives Ltd,$3.92,0,0,$3.99,$3.75,"371,582",$1.9B,1.1189
COH.AX,Cochlear Ltd,$98.77,4.77,0.0507,$98.81,$94.42,"892,417",$6.5B,-63.90%
CDA.AX,Codan Ltd,$43.33,1.65,0.0396,$43.65,$42.27,"389,764",$7.9B,1.7098
COL.AX,Coles Group Ltd,$22.92,0.81,0.0366,$22.98,$21.99,"3,498,611",$31B,0.0665
CBA.AX,Commonwealth Bank of Australia,$173.04,-0.62,-0.36%,$174.81,$172.83,"1,671,952",$290B,0.0346
CPU.AX,Computershare Ltd,$30.73,0.55,0.0182,$30.99,$30.475,"757,546",$18B,-25.19%
CEN.AX,Contact Energy Ltd,$7.75,0.03,0.0039,$7.855,$7.67,"11,782",$4.2B,-8.82%
CTD.AX,Corporate Travel Management Ltd,$16.07,0,0,‐,‐,0,$2.4B,0.2362
CSL.AX,CSL Ltd,$124.84,0.47,0.0038,$125.97,$124.31,"3,914,127",$61B,-50.29%
